# lrs3_safe_vocab.csv — vocabulary foundation for lip-reading-friendly scripts (Aug 2026)
# lrs3_freq: word count in 197 LRS3 transcripts (5 TED talks, datasets/lrs3orig_sync.tar)
# hist_n/hist_acc: hyp-side P(correct) from B3 per-word diagnostic (23,261 words, english_full_nbest_eval/trust_diagnostic/per_word_diagnostic.csv)
# ref_n/ref_recall: ref-side recall over 1,497 benchmark segments (english_full_results/client_outputs/report/report.csv)
# flag: safe | risky (common but poorly decoded) | function | entity | number | rare
word,lrs3_freq,hist_n,hist_acc,ref_n,ref_recall,flag,notes
big,2,6,0.667,16,0.312,safe,P(correct)=0.67 on 6 decoded; recall=0.31 on 16 ref occurrences
change,3,10,0.700,11,0.727,safe,P(correct)=0.70 on 10 decoded; recall=0.73 on 11 ref occurrences
coming,3,11,0.545,10,0.600,safe,P(correct)=0.55 on 11 decoded; recall=0.60 on 10 ref occurrences
each,0,11,0.545,13,0.462,safe,P(correct)=0.55 on 11 decoded; recall=0.46 on 13 ref occurrences
felt,3,11,0.727,10,0.900,safe,P(correct)=0.73 on 11 decoded; recall=0.90 on 10 ref occurrences
hand,0,9,0.778,15,0.467,safe,P(correct)=0.78 on 9 decoded; recall=0.47 on 15 ref occurrences
looks,3,6,0.833,15,0.333,safe,P(correct)=0.83 on 6 decoded; recall=0.33 on 15 ref occurrences
old,3,15,0.267,6,0.667,safe,P(correct)=0.27 on 15 decoded; recall=0.67 on 6 ref occurrences
phone,0,10,0.800,14,0.571,safe,P(correct)=0.80 on 10 decoded; recall=0.57 on 14 ref occurrences
play,2,13,0.385,9,0.667,safe,P(correct)=0.38 on 13 decoded; recall=0.67 on 9 ref occurrences
thank,2,14,0.143,8,0.625,safe,P(correct)=0.14 on 14 decoded; recall=0.62 on 8 ref occurrences
yeah,0,12,0.417,12,0.500,safe,P(correct)=0.42 on 12 decoded; recall=0.50 on 12 ref occurrences
having,5,8,0.500,10,0.400,safe,P(correct)=0.50 on 8 decoded; recall=0.40 on 10 ref occurrences
sort,3,8,0.625,12,0.583,safe,P(correct)=0.62 on 8 decoded; recall=0.58 on 12 ref occurrences
build,1,6,0.667,15,0.267,safe,P(correct)=0.67 on 6 decoded; recall=0.27 on 15 ref occurrences
fact,4,8,0.875,10,0.700,safe,P(correct)=0.88 on 8 decoded; recall=0.70 on 10 ref occurrences
left,1,8,0.625,13,0.462,safe,P(correct)=0.62 on 8 decoded; recall=0.46 on 13 ref occurrences
less,1,11,0.727,10,0.800,safe,P(correct)=0.73 on 11 decoded; recall=0.80 on 10 ref occurrences
means,0,5,1.000,17,0.294,safe,P(correct)=1.00 on 5 decoded; recall=0.29 on 17 ref occurrences
number,3,9,0.667,10,0.600,safe,P(correct)=0.67 on 9 decoded; recall=0.60 on 10 ref occurrences
stuff,0,11,0.545,11,0.545,safe,P(correct)=0.55 on 11 decoded; recall=0.55 on 11 ref occurrences
thinking,8,6,0.667,8,0.500,safe,P(correct)=0.67 on 6 decoded; recall=0.50 on 8 ref occurrences
water,4,7,0.571,11,0.455,safe,P(correct)=0.57 on 7 decoded; recall=0.45 on 11 ref occurrences
bring,3,7,0.714,11,0.455,safe,P(correct)=0.71 on 7 decoded; recall=0.45 on 11 ref occurrences
call,0,10,0.600,11,0.545,safe,P(correct)=0.60 on 10 decoded; recall=0.55 on 11 ref occurrences
control,3,9,0.889,9,0.889,safe,P(correct)=0.89 on 9 decoded; recall=0.89 on 9 ref occurrences
family,6,6,0.667,9,0.444,safe,P(correct)=0.67 on 6 decoded; recall=0.44 on 9 ref occurrences
group,2,9,0.778,10,0.700,safe,P(correct)=0.78 on 9 decoded; recall=0.70 on 10 ref occurrences
happened,7,8,0.375,6,0.500,safe,P(correct)=0.38 on 8 decoded; recall=0.50 on 6 ref occurrences
place,2,9,0.556,10,0.500,safe,P(correct)=0.56 on 9 decoded; recall=0.50 on 10 ref occurrences
question,5,9,0.556,7,0.714,safe,P(correct)=0.56 on 9 decoded; recall=0.71 on 7 ref occurrences
room,1,8,0.625,12,0.417,safe,P(correct)=0.62 on 8 decoded; recall=0.42 on 12 ref occurrences
set,9,5,0.800,7,0.571,safe,P(correct)=0.80 on 5 decoded; recall=0.57 on 7 ref occurrences
away,4,7,0.857,9,0.667,safe,P(correct)=0.86 on 7 decoded; recall=0.67 on 9 ref occurrences
both,0,8,0.625,12,0.417,safe,P(correct)=0.62 on 8 decoded; recall=0.42 on 12 ref occurrences
far,0,6,1.000,14,0.429,safe,P(correct)=1.00 on 6 decoded; recall=0.43 on 14 ref occurrences
move,2,9,0.667,9,0.667,safe,P(correct)=0.67 on 9 decoded; recall=0.67 on 9 ref occurrences
